domain,domain_label,model_prefix,model_label,seed,rmse,mae,n_test_samples,is_floor,floor_status
tripadvisor_hotel,Hotel,absa_ablation_concat_confidence_cbf_nosentiment_no_sentiment_fixed_v2,No-sentiment floor (fixed),789,0.9613287467362787,0.7325389003156174,11795,True,fixed_dropped_column
tripadvisor_hotel,Hotel,absa_ablation_concat_confidence_cbf_nosentiment_no_sentiment_fixed_v2,No-sentiment floor (fixed),1011,0.9418091100325936,0.710712922080054,11795,True,fixed_dropped_column
tripadvisor_hotel,Hotel,classical_cf_item_knn,Item-KNN,42,0.9163437483448726,0.6917113553371,11795,False,
tripadvisor_hotel,Hotel,classical_cf_item_knn,Item-KNN,123,0.9163437483448726,0.6917113553371,11795,False,
tripadvisor_hotel,Hotel,classical_cf_item_knn,Item-KNN,456,0.9163437483448726,0.6917113553371,11795,False,
tripadvisor_hotel,Hotel,classical_cf_item_knn,Item-KNN,789,0.9163437483448726,0.6917113553371,11795,False,
tripadvisor_hotel,Hotel,classical_cf_item_knn,Item-KNN,1011,0.9163437483448726,0.6917113553371,11795,False,
tripadvisor_hotel,Hotel,classical_cf_svd,SVD,42,0.8951387774114238,0.6953004074177533,11795,False,
tripadvisor_hotel,Hotel,classical_cf_svd,SVD,123,0.8950765024541837,0.6952776710377653,11795,False,
tripadvisor_hotel,Hotel,classical_cf_svd,SVD,456,0.8953489442845948,0.6954998644593915,11795,False,
tripadvisor_hotel,Hotel,classical_cf_svd,SVD,789,0.8954532656906491,0.6955767235143451,11795,False,
tripadvisor_hotel,Hotel,classical_cf_svd,SVD,1011,0.8952875459739378,0.6954933949373899,11795,False,
